,call_type,latitude,longitude
5545,Structure Fire,37.73527383,-122.3914135
5549,Structure Fire,37.74983632,-122.4182805
5615,Structure Fire,37.77021017,-122.44534499999999
5622,Structure Fire,37.77021017,-122.44534499999999
5624,Structure Fire,37.79494605,-122.42915590000001
5626,Structure Fire,37.79494605,-122.42915590000001
5630,Structure Fire,37.77021017,-122.44534499999999
5640,Structure Fire,37.73527383,-122.3914135
5650,Structure Fire,37.77654089,-122.41750149999999
5655,Structure Fire,37.79494605,-122.42915590000001
5755,Structure Fire,37.73527383,-122.3914135
5765,Structure Fire,37.77021017,-122.44534499999999
