Column1,Unnamed0,call_type,received_timestamp,disptach_timestamp,dispatch_time,latitude,longitude,TransactionId,ComputedAPN,StreetAddress,ComputedCity,ComputedState,ComputedZip
3952,3952,Structure Fire,0 days 13:29:45.000000000,0 days 13:40:05.000000000,0 days 00:10:20.000000000,37.78289412,-122.420817,,742009,780 Van Ness Ave,San Francisco,CA,94102
3957,3957,Structure Fire,0 days 19:17:01.000000000,0 days 19:19:31.000000000,0 days 00:02:30.000000000,37.79212424,-122.4235283,,0618003B,1840 Clay St,San Francisco,CA,94109
3960,3960,Structure Fire,0 days 19:17:01.000000000,0 days 19:19:31.000000000,0 days 00:02:30.000000000,37.74821215,-122.4158628,,5501068,3291 Cesar Chavez,San Francisco,CA,94110
3972,3972,Structure Fire,0 days 19:20:22.000000000,0 days 19:20:43.000000000,0 days 00:00:21.000000000,37.78453092,-122.4380197,,1077027,1600 Divisadero St,San Francisco,CA,94115
3991,3991,Structure Fire,0 days 13:29:45.000000000,0 days 13:40:05.000000000,0 days 00:10:20.000000000,37.77469266,-122.4326486,,827037,590 Steiner St,San Francisco,CA,94117
3994,3994,Structure Fire,0 days 15:06:56.000000000,0 days 15:09:13.000000000,0 days 00:02:17.000000000,37.74579253,-122.4150618,,5520002,1426 Shotwell St,San Francisco,CA,94110
4034,4034,Structure Fire,0 days 11:22:44.000000000,0 days 11:22:51.000000000,0 days 00:00:07.000000000,37.76097661,-122.4344574,,3582056,4084  18th St,San Francisco,CA,94114
4048,4048,Structure Fire,0 days 10:07:29.000000000,0 days 10:08:58.000000000,0 days 00:01:29.000000000,37.7860778,-122.401709,,3722257,188 Minna St,San Francisco,CA,94105
4050,4050,Structure Fire,0 days 10:07:29.000000000,0 days 10:08:58.000000000,0 days 00:01:29.000000000,37.72664748,-122.393867,,5429002,5700 3rd St,San Francisco,CA,94124
4052,4052,Structure Fire,0 days 09:54:49.000000000,0 days 09:58:36.000000000,0 days 00:03:47.000000000,37.76505134,-122.419669,,3553053,1955 Mission St,San Francisco,CA,94103
4056,4056,Structure Fire,0 days 09:54:49.000000000,0 days 09:58:36.000000000,0 days 00:03:47.000000000,37.80276949,-122.4382704,,0462A021,210 Mallorca Way,San Francisco,CA,94123
4064,4064,Structure Fire,0 days 10:07:29.000000000,0 days 10:08:58.000000000,0 days 00:01:29.000000000,37.75898366,-122.4141501,,3593006,3276  20th St,San Francisco,CA,94110
4114,4114,Structure Fire,0 days 15:06:56.000000000,0 days 15:09:13.000000000,0 days 00:02:17.000000000,37.72664748,-122.393867,,5429002,5700 3rd St,San Francisco,CA,94124
4122,4122,Structure Fire,0 days 05:47:33.000000000,0 days 05:48:34.000000000,0 days 00:01:01.000000000,37.77755321,-122.4069184,,3731021,1052 Folsom St,San Francisco,CA,94103
